final_rank,reduced_formula,superconductor_ranking,best_rbt_score,best_tc_estimate,best_tau_valence,best_kappa_curvature,best_phase_locking,best_prototype,structure_quality,n_elements
110,Mg3AlFe2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
111,Ca2AlFe3,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
112,Ca3AlFe2,1.6082,0.6386,36.7021,0.1667,0.0000,0.0000,perovskite,1.0000,3
113,Ca2MgB,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
114,CaMg2B,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
115,Ca3Mg3B2,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
116,MgFe2B,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
117,Mg2FeB,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
118,Mg3Fe3B2,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
119,CaFe2B,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
120,Ca2FeB,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
121,Ca3Fe3B2,1.5975,0.6311,35.8424,0.2500,0.0000,0.0652,perovskite,1.0000,3
122,AlFe4,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,rocksalt,1.0000,2
123,LiCa3Mg,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
124,Li(CaMg)2,1.5924,0.6275,35.4372,0.2000,0.0000,0.0000,perovskite,1.0000,3
